sentence,categorize
เหงา,s
รู้สึกเศร้า,s
เบื่อหน่าย,s
อยากร้องไห้,s
รู้สึกท้อ,s
รู้สึกผิดหวัง,s
โกรธ,a
โมโห,a
หงุดหงิด,a
รู้สึกเครียด,a
ไม่พอใจ,a
หงุดหงิดง่าย,a
สับสน,c
คิดไม่ตก,c
ไม่เข้าใจ,c
รู้สึกสับสน,c
งง,c
สับสนใจ,c
ทำอะไรไม่ถูก,c
คิดมาก,c
รู้สึกอ่อนแอ,s
ไม่มีแรง,s
เศร้าใจ,s
รู้สึกเหงา,s
ร้องไห้,s
ไม่มั่นใจ,c
เครียดมาก,c
คิดจนปวดหัว,c
ทำอะไรไม่ถูก,c
ไม่เข้าใจ,c
คิดเยอะ,a
โกรธมาก,a
โมโหสุดๆ,a
เคือง,a
หงุดหงิดง่าย,a
รู้สึกท้อแท้,s
ผิดหวัง,s
ไม่พอใจเรื่องนี้,a
หมดหวัง,s
อยากหนีไปจากทุกอย่าง,s
ไม่สบายใจ,c
เครียดกับเรื่องนี้,c
รู้สึกอยากพักผ่อน,s
รู้สึกติดขัด,c
ไม่มีความสุข,s
กังวลกับอนาคต,c
อารมณ์เสีย,a
หงุดหงิดตัวเอง,a
รู้สึกวิตก,c
เบื่อชีวิต,s
รู้สึกโดดเดี่ยว,s
ทำตัวไม่ถูก,c
ไม่รู้จะทำยังไง,c
กังวลใจ,c
เครียดกับงาน,c
รู้สึกผิดหวังกับตัวเอง,s
ไม่พอใจสิ่งที่เกิดขึ้น,a
โกรธทุกอย่าง,a
น้อยใจ,s
รู้สึกกดดัน,c
หงุดหงิดสุดๆ,a
ไม่มีใครเข้าใจ,s
เสียใจ,s
ไม่อยากทำอะไร,s
ไม่อยากไปไหน,s
คิดมากเกินไป,c
ไม่อยากเจอใคร,s
รู้สึกสับสนกับสิ่งที่เกิดขึ้น,c
สับสนในตัวเอง,c
ทำใจไม่ได้,s
ตกใจ,a
หงุดหงิดกับสถานการณ์,a
รู้สึกเครียดกับทุกอย่าง,c
รู้สึกผิด,s
คิดถึงบ้าน,s
รู้สึกสบายใจ,s
เริ่มมีความหวัง,s
รู้สึกดีขึ้น,s
เบื่อหน่ายกับสิ่งเดิมๆ,s
คิดถึงอดีต,s
ไม่อยากอยู่ที่นี่,s
รู้สึกเหงาเมื่ออยู่คนเดียว,s
รู้สึกขาดความรัก,s
อยากออกไปเที่ยว,s
ไม่มั่นใจในตัวเอง,c
รู้สึกกลัว,c
เครียดจนไม่รู้จะทำยังไง,c
ตื่นเต้นกับสิ่งใหม่,a
รู้สึกท้อแท้กับงาน,a
โมโหกับสิ่งที่เกิดขึ้น,a
ไม่พอใจกับสิ่งที่ได้รับ,a
สับสนในตัวเอง,c
คิดว่าทำไม่ได้,c
รู้สึกผิดหวังกับชีวิต,s
รู้สึกท้อแท้กับอนาคต,s
โกรธกับสิ่งที่ไม่ยุติธรรม,a
เครียดจากการทำงาน,c
มีความสุขเมื่อได้อยู่กับเพื่อน,s
คิดถึงคนที่รัก,s
หมดความหวัง,s
กลัวว่าจะล้มเหลว,c
ไม่แน่ใจว่าควรทำอะไร,c
เครียดกับการตัดสินใจ,c
หงุดหงิดกับสถานการณ์ที่ไม่ดี,a
รู้สึกเสียใจ,s
รู้สึกเหงาแต่ไม่อยากคุยกับใคร,s
คิดถึงการเดินทาง,s
อยากพักผ่อนจากทุกสิ่ง,s
รู้สึกไม่อยากทำงาน,c
รู้สึกเครียดเพราะการเรียน,c
หมดแรง,s
หงุดหงิดกับตัวเอง,a
ไม่พอใจในตัวเอง,a
เครียดจนไม่สามารถคิดอะไรได้,c
ไม่เข้าใจสิ่งที่เกิดขึ้น,c
รู้สึกผิดกับสิ่งที่ทำ,s
รู้สึกโดดเดี่ยวแม้มีคนรอบข้าง,s
อยากเปลี่ยนแปลงชีวิต,s
รู้สึกสับสนกับการตัดสินใจ,c
อยากหลบหนีจากปัญหา,s
รู้สึกไม่แน่ใจว่าควรทำยังไง,c
รู้สึกเหนื่อยจากการทำงาน,s
เครียดกับการเผชิญหน้ากับปัญหาหนัก,c
ไม่พอใจในสถานการณ์ที่เกิดขึ้น,a
คิดมากเรื่องอนาคต,c
รู้สึกท้อแท้เพราะไม่เห็นทางออก,s
ไม่รู้จะเริ่มต้นจากตรงไหน,c
รู้สึกเครียดจากการเปลี่ยนแปลง,c
โกรธที่ไม่ได้สิ่งที่ต้องการ,a
โมโหที่คนไม่เข้าใจ,a
รู้สึกหงุดหงิดกับงาน,a
ไม่พอใจที่ไม่ได้รับการช่วยเหลือ,a
รู้สึกโมโหกับสิ่งที่เกิดขึ้น,a
รู้สึกผิดหวังกับผลลัพธ์,s
เศร้าใจที่ไม่ได้ตามที่คาดหวัง,s
รู้สึกท้อแท้จากการทำงานหนัก,s
เสียใจที่ไม่ได้เจอคนที่รัก,s
เศร้ากับสิ่งที่ไม่ได้ตามที่คิด,s
รู้สึกเครียดเพราะไม่มีทางออก,c
สับสนเพราะการตัดสินใจ,c
ไม่แน่ใจว่าจะเลือกทางไหน,c
คิดไม่ออกว่าจะทำอะไร,c
รู้สึกว่ายุ่งยากในการตัดสินใจ,c
รู้สึกผิดหวังจากการรอคอย,s
เศร้ากับการที่ไม่ได้เจอเพื่อน,s
ท้อแท้กับสิ่งที่เกิดขึ้น,s
รู้สึกโดดเดี่ยว,s
ไม่มีความสุขจากสิ่งที่ทำ,s
ไม่พอใจที่ไม่ได้รับการยอมรับ,a
โมโหที่ไม่สามารถทำอะไรได้,a
โกรธที่ต้องทำสิ่งที่ไม่ชอบ,a
หงุดหงิดกับสถานการณ์ที่ไม่ดี,a
รู้สึกผิดหวังในตัวเอง,s
คิดถึงวันเก่าๆ,s
เบื่อหน่ายกับสิ่งที่ทำอยู่,s
รู้สึกไม่เต็มใจที่จะทำ,c
เครียดจากการต้องตัดสินใจสำคัญ,c
รู้สึกกลัวกับอนาคต,c
สับสนกับสิ่งที่เกิดขึ้น,c
รู้สึกเครียดจากการเรียน,c
โมโหกับการที่คนไม่เข้าใจ,a
หงุดหงิดกับสถานการณ์ในชีวิต,a
รู้สึกท้อแท้ที่ไม่สามารถไปต่อได้,s
เบื่อหน่ายกับความซ้ำซาก,s
เครียดจากความคาดหวังที่สูงเกินไป,c
รู้สึกหดหู่จากความล้มเหลว,s
ท้อแท้จากการไม่ประสบความสำเร็จ,s
รู้สึกเหงาเพราะไม่มีใครคุยด้วย,s
ไม่อยากตัดสินใจ,c
รู้สึกหงุดหงิดเมื่อคนไม่ฟัง,a
โกรธกับสิ่งที่ไม่ยุติธรรม,a
รู้สึกเครียดเพราะทุกอย่างไม่เป็นไปตามแผน,c
สับสนกับทางเลือกที่มี,c
รู้สึกว่าไม่สามารถทำอะไรได้,c
รู้สึกผิดหวังจากผลลัพธ์ที่ได้,s
เศร้ากับความสัมพันธ์ที่ไม่ดี,s
โมโหกับสิ่งที่เกิดขึ้นในชีวิต,a
หงุดหงิดกับการที่ไม่สามารถควบคุมสถานการณ์ได้,a
เศร้าใจที่ไม่ได้สิ่งที่คาดหวัง,s
รู้สึกท้อแท้เพราะไม่สามารถไปต่อ,s
เศร้ากับเหตุการณ์ที่ผ่านมา,s
คิดถึงสิ่งที่เคยเป็น,s
ไม่อยากทำอะไรเลย,s
รู้สึกเหงาในที่ทำงาน,s
ท้อแท้เพราะไม่เห็นทางออก,s
รู้สึกเศร้าเพราะไม่ได้เจอคนที่รัก,s
รู้สึกเสียใจที่ไม่ได้ทำสิ่งที่อยากทำ,s
เศร้ากับการต้องเผชิญกับปัญหา,s
โกรธที่คนไม่เข้าใจ,a
โมโหที่ไม่ได้ตามที่ต้องการ,a
รู้สึกหงุดหงิดกับสิ่งที่เกิดขึ้น,a
ไม่พอใจที่ต้องทำสิ่งที่ไม่ชอบ,a
รู้สึกโมโหที่ไม่ได้รับการช่วยเหลือ,a
โกรธที่ถูกทิ้ง,a
รู้สึกหงุดหงิดเพราะการรอคอย,a
โมโหที่ไม่ได้รับการยอมรับ,a
หงุดหงิดกับสถานการณ์ที่ไม่ดี,a
รู้สึกท้อแท้จากการรอคอย,a
รู้สึกสับสนจากการตัดสินใจ,c
คิดไม่ตกกับสิ่งที่ต้องเลือก,c
ไม่เข้าใจสิ่งที่เกิดขึ้น,c
รู้สึกไม่แน่ใจว่าจะทำอย่างไร,c
สับสนกับข้อมูลที่มีอยู่,c
งงกับทางเลือกที่มีอยู่,c
ไม่รู้ว่าจะเลือกทางไหน,c
รู้สึกสงสัยในสิ่งที่เห็น,c
สับสนกับการที่ทุกอย่างไม่ชัดเจน,c
รู้สึกคิดมากจากการตัดสินใจ,c
เศร้าจากความล้มเหลว,s
เบื่อหน่ายกับการทำซ้ำ,s
รู้สึกหมดกำลังใจ,s
เศร้าใจจากการที่ไม่ได้สิ่งที่ต้องการ,s
รู้สึกหดหู่จากการรอคอย,s
รู้สึกโดดเดี่ยว,s
ไม่มีความสุขกับสิ่งที่ทำ,s
ท้อแท้จากการที่ไม่สามารถไปต่อ,s
รู้สึกเศร้ากับสิ่งที่สูญเสีย,s
รู้สึกท้อแท้กับการเรียน,s
เครียดจากการทำงาน,c
รู้สึกวิตกกังวลกับสิ่งที่ต้องทำ,c
คิดมากกับการตัดสินใจสำคัญ,c
รู้สึกไม่มั่นใจในทางที่เลือก,c
สับสนกับคำถามที่ไม่ได้คำตอบ,c
ไม่เข้าใจสิ่งที่เกิดขึ้นในชีวิต,c
สับสนเกี่ยวกับการตัดสินใจ,c
รู้สึกไม่แน่ใจว่าจะไปทางไหน,c
คิดไม่ตกจากการที่มีหลายทางเลือก,c
โกรธกับสิ่งที่ไม่เป็นธรรม,a
โมโหกับสถานการณ์ที่ไม่ยุติธรรม,a
หงุดหงิดจากการรอคอย,a
ท้อแท้เพราะไม่สามารถควบคุมสถานการณ์,a
รู้สึกไม่พอใจจากสิ่งที่เกิดขึ้น,a
รู้สึกโมโหที่ไม่สามารถทำตามที่คาดหวัง,a
รู้สึกหงุดหงิดกับคนที่ไม่เข้าใจ,a
โมโหจากการที่ถูกปฏิเสธ,a
รู้สึกผิดหวังจากสิ่งที่ไม่เป็นไปตามแผน,s
เศร้าจากการที่ไม่สามารถทำได้ตามที่ต้องการ,s
คิดถึงสิ่งที่สูญเสีย,s
รู้สึกเหงากับการอยู่คนเดียว,s
เบื่อหน่ายจากการทำสิ่งที่ไม่สนุก,s
ท้อแท้จากการไม่เจอผลลัพธ์ที่คาดหวัง,s
รู้สึกผิดหวังที่ไม่ได้ผลลัพธ์ที่ต้องการ,s
ไม่แน่ใจว่าควรทำอย่างไร,c
รู้สึกสับสนเกี่ยวกับสิ่งที่เกิดขึ้น,c
ไม่เข้าใจเหตุผลของการตัดสินใจ,c
ไม่รู้ว่าจะเลือกทางไหนดี,c
รู้สึกสงสัยในสิ่งที่เกิดขึ้น,c
คิดมากกับสิ่งที่ไม่แน่ใจ,c
สับสนกับข้อมูลที่มี,c
ไม่มั่นใจในสิ่งที่กำลังทำ,c
รู้สึกว่าสิ่งที่ทำอยู่มันไม่ถูกต้อง,c
ไม่เข้าใจว่าทำไมมันถึงเป็นแบบนี้,c
รู้สึกงงกับคำตอบที่ได้รับ,c
ไม่แน่ใจว่าเลือกถูกทางหรือไม่,c
สับสนกับคำถามที่ยังไม่ได้คำตอบ,c
คิดมากกับผลที่อาจจะเกิดขึ้น,c
รู้สึกไม่มั่นใจในการตัดสินใจ,c
สงสัยในตัวเองกับทางเลือกที่มี,c
ไม่รู้ว่าควรทำอะไรต่อไป,c
รู้สึกงงกับสถานการณ์ที่ไม่ชัดเจน,c
คิดไม่ตกกับทางเลือกที่มี,c
ไม่เข้าใจว่าอะไรคือสิ่งที่ดีที่สุด,c
สับสนกับสิ่งที่กำลังจะทำ,c
โกรธที่ถูกทำให้ผิดหวัง,a
รู้สึกโกรธที่ไม่ได้รับความยุติธรรม,a
โมโหเมื่อคนอื่นทำให้เสียเวลา,a
รู้สึกโกรธที่ไม่สามารถควบคุมสถานการณ์,a
โกรธเมื่อสิ่งที่คาดหวังไม่ได้เป็นไปตามที่ต้องการ,a
รู้สึกไม่พอใจที่ถูกขัดจังหวะ,a
โมโหเมื่อคนอื่นทำให้เสียหาย,a
โกรธที่ไม่ได้รับการยอมรับ,a
รู้สึกโกรธที่ถูกดูหมิ่น,a
โมโหเมื่อทุกอย่างไม่เป็นไปตามแผน,a
โกรธที่ถูกปฏิเสธ,a
รู้สึกโกรธที่คนอื่นไม่ให้ความสนใจ,a
โกรธที่ไม่สามารถทำสิ่งที่ต้องการ,a
โมโหที่คนอื่นทำให้รู้สึกไม่ดี,a
รู้สึกโกรธที่คนอื่นทำให้ไม่พอใจ,a
โกรธที่ถูกใส่ร้าย,a
โมโหที่ไม่มีใครฟังคำอธิบาย,a
โกรธที่ถูกพูดถึงในทางไม่ดี,a
รู้สึกโกรธที่ไม่สามารถเปลี่ยนแปลงสถานการณ์,a
โมโหที่คนอื่นไม่ให้ความเคารพ,a
รู้สึกโกรธที่ไม่สามารถควบคุมสิ่งที่เกิดขึ้น,a
โกรธที่คนอื่นทำให้เสียใจ,a
โมโหเมื่อถูกมองข้าม,a
รู้สึกโกรธที่ถูกทำให้รู้สึกแย่,a
โกรธที่ต้องเผชิญกับความอยุติธรรม,a
โมโหที่ไม่สามารถปกป้องตัวเอง,a
รู้สึกโกรธที่ไม่สามารถพูดออกมา,a
โกรธที่ไม่ได้รับความช่วยเหลือ,a
รู้สึกโกรธที่คนอื่นไม่ซื่อสัตย์,a
โมโหที่ถูกทำให้ผิดหวัง,a
โกรธที่ไม่มีใครเข้าใจความรู้สึก,a
รู้สึกโกรธที่ไม่ได้รับการตอบสนอง,a
โมโหที่ถูกทำให้เสียชื่อเสียง,a
โกรธที่สิ่งต่างๆ ไม่เป็นไปตามที่คาดหวัง,a
รู้สึกโกรธที่ไม่สามารถทำตามที่ต้องการ,a
โมโหที่ไม่มีใครช่วยเหลือในเวลาที่ต้องการ,a
โกรธที่ถูกกดดันจากสถานการณ์,a
รู้สึกโกรธที่คนอื่นทำให้เสียสมาธิ,a
โมโหที่ไม่สามารถทำอะไรได้,a
รู้สึกโกรธที่มีคนมาหยุดความพยายามของเรา,a
โกรธมากที่มีคนพูดไม่ดีใส่,a
รู้สึกโมโหที่ทำไมถึงต้องเจอเรื่องแบบนี้,a
ทำไมมันต้องเป็นแบบนี้ด้วยนะ โกรธมาก,a
ไม่พอใจที่เจ้านายไม่เห็นค่าของฉัน,a
โกรธตัวเองที่ทำพลาดแบบนั้น,a
เครียดมากและโกรธจนทำอะไรไม่ถูก,a
หงุดหงิดที่ไม่สามารถหาทางออกได้,a
โมโหที่ต้องมาเจอกับความยุ่งยากนี้,a
รู้สึกโกรธที่ต้องทำงานหนักเกินไป,a
รู้สึกเครียดและโกรธที่ไม่มีใครช่วย,a
โกรธมากที่ถูกกล่าวหาว่าโกหก,a
รู้สึกไม่พอใจที่โดนปฏิเสธคำขอ,a
โมโหมากที่ต้องเจอกับปัญหาซ้ำซาก,a
หงุดหงิดที่ทำให้เกิดความเข้าใจผิด,a
รู้สึกโกรธที่ถูกทิ้งไว้ข้างหลัง,a
เครียดมากจนไม่มีสมาธิทำอะไร,a
รู้สึกไม่พอใจที่โดนตัดสิทธิ์,a
โกรธมากที่ต้องเสียเวลาทำงานที่ไม่เกี่ยวข้อง,a
โมโหที่ไม่มีใครช่วยแก้ปัญหานี้,a
รู้สึกแย่มากที่ต้องทำงานล่วงเวลา,a
หงุดหงิดที่ต้องรอนานเกินไป,a
โกรธที่รู้สึกเหมือนไม่ได้รับการยอมรับ,a
โมโหที่รู้สึกเหมือนงานที่ทำไปไม่ได้ผล,a
เครียดและโกรธที่ต้องเจอปัญหาซ้ำๆ,a
รู้สึกไม่พอใจที่คนอื่นไม่ให้เกียรติ,a
โมโหที่ถูกตำหนิในเรื่องที่ไม่ได้ทำ,a
โกรธที่รู้สึกเหมือนไม่มีความสำคัญ,a
รู้สึกโกรธที่ต้องรับผิดชอบเรื่องนี้,a
หงุดหงิดมากที่ไม่สามารถหาทางแก้ไขได้,a
โมโหที่ไม่ได้รับคำชมสำหรับงานที่ทำ,a
โกรธที่ทำไมทุกอย่างมันต้องยากแบบนี้,a
รู้สึกเครียดที่มีเรื่องต้องตัดสินใจมากมาย,a
โกรธที่คนอื่นมาพูดจาดูถูก,a
รู้สึกโกรธที่ต้องเจอกับสถานการณ์นี้,a
โมโหที่ไม่มีใครเข้าใจสิ่งที่ฉันกำลังเจอ,a
โกรธมากที่โดนคาดหวังมากเกินไป,a
รู้สึกโกรธที่ไม่สามารถช่วยเหลือได้,a
เครียดมากที่ต้องรับมือกับความกดดัน,a
โมโหที่ไม่สามารถทำให้ทุกคนพอใจได้,a
โกรธที่ถูกกล่าวหาว่าไม่ทำงานหนักพอ,a
รู้สึกแย่มากที่คนอื่นไม่เห็นใจ,a
โกรธที่มีคนพยายามทำให้เรื่องเล็กกลายเป็นเรื่องใหญ่,a
โมโหที่ต้องรอคอยนานเกินไป,a
รู้สึกไม่พอใจที่ไม่ได้รับความยุติธรรม,a
โกรธมากที่ถูกบังคับให้ทำสิ่งที่ไม่อยากทำ,a
รู้สึกโกรธที่คนอื่นไม่เคารพเวลาของฉัน,a
หงุดหงิดที่ไม่สามารถหาคำตอบได้,a
โกรธที่ไม่สามารถทำให้คนอื่นเข้าใจความรู้สึกของฉัน,a
รู้สึกโกรธที่ไม่มีใครให้ความสำคัญกับความคิดเห็นของฉัน,a
โมโหที่มีคนพูดไม่ดีเกี่ยวกับคนที่ฉันรัก,a
เครียดมากที่ต้องเผชิญกับความยากลำบากในชีวิต,a
รู้สึกโกรธที่ต้องเสียเวลามากมายไปกับสิ่งที่ไม่มีค่า,a
โกรธที่ต้องทนกับสิ่งที่ไม่สามารถเปลี่ยนแปลงได้,a
โมโหที่ไม่มีทางออกในสถานการณ์นี้,a
โกรธมากที่ทำไมต้องเป็นฉันที่ต้องรับผิดชอบ,a
หงุดหงิดที่ต้องทำซ้ำๆ โดยไม่มีผลลัพธ์ที่ดี,a
รู้สึกโกรธที่ต้องเผชิญกับปัญหาที่ไม่ยุติธรรม,a
โกรธที่ไม่มีใครมาช่วยแก้ปัญหานี้,a
โมโหที่คนอื่นไม่รับฟังความคิดเห็นของฉัน,a
รู้สึกไม่พอใจที่ถูกใส่ความโดยไม่รู้เหตุผล,a
เครียดที่ต้องอยู่ในสภาวะที่เต็มไปด้วยความไม่แน่นอน,a
โกรธที่ไม่มีการสนับสนุนในเรื่องที่สำคัญ,a
หงุดหงิดที่ต้องเผชิญกับความล้มเหลวซ้ำๆ,a
โกรธมากที่มีคนมาขัดขวางการทำงานของฉัน,a
โมโหที่ไม่สามารถทำสิ่งที่ต้องการได้,a
รู้สึกโกรธที่ไม่สามารถควบคุมสถานการณ์ได้,a
โกรธที่มีคนเข้ามาแทรกแซงเรื่องส่วนตัวของฉัน,a
โมโหที่รู้สึกเหมือนถูกละเลยในที่ทำงาน,a
โกรธมากที่ต้องเจอกับความไม่ยุติธรรม,a
รู้สึกเครียดและไม่พอใจที่ไม่มีการแก้ปัญหานี้,a
หงุดหงิดที่ไม่สามารถจัดการกับงานได้ทันเวลา,a
โมโหที่มีคนไม่เคารพกฎเกณฑ์ที่ได้ตกลงกันไว้,a
โกรธที่ต้องทนกับการตัดสินใจที่ไม่เป็นธรรม,a
รู้สึกโกรธที่ต้องทำสิ่งที่ไม่ต้องการทำ,a
โมโหที่รู้สึกเหมือนถูกมองข้ามทุกครั้ง,a
โกรธมากที่ไม่สามารถแก้ไขสถานการณ์ได้,a
รู้สึกไม่พอใจที่ทำไมต้องมีการเปลี่ยนแปลงตลอดเวลา,a
เครียดที่ต้องทำงานในสภาพแวดล้อมที่ไม่ดี,a
โมโหที่ไม่สามารถหาทางออกจากปัญหานี้ได้,a
รู้สึกโกรธที่ต้องทำสิ่งที่คนอื่นไม่เห็นความสำคัญ,a
โกรธมากที่ไม่มีใครยอมรับผิดในเรื่องนี้,a
โมโหที่ถูกดึงเข้าไปในสถานการณ์ที่ไม่เกี่ยวข้อง,a
โกรธที่ทุกอย่างมันต้องยากแบบนี้,a
รู้สึกเครียดและโกรธที่ไม่ได้รับการสนับสนุน,a
หงุดหงิดที่ทำไมทุกอย่างมันไม่เป็นไปตามแผน,a
โกรธมากที่มีคนไม่เคารพความเป็นส่วนตัว,a
