sentence,categorize
หัวร้อน,a
เบื่อ,s
สมองตื้อมาก,c
เครียดเกินไป,c
ไม่มีสมาธิเลย,c
คิดไม่ออก,c
ปวดหัวหนัก,c
สมองยุ่งเหยิง,c
หัวร้อนเลย,c
เหนื่อยจากการคิด,c
เหมือนจะบ้า,c
หัวตื้อ,c
ต้องการความสงบ,c
คิดเรื่องเดิมๆ,c
ลืมสิ่งที่ต้องทำ,c
พักสมองบ้าง,c
คิดมากเกินไป,c
กังวลทุกเรื่อง,c
ไม่มีความสงบในใจ,c
หัวเต็มไปด้วยความคิด,c
สมองไม่ทำงาน,c
ทุกอย่างมันยุ่ง,c
หัวร้อนมาก,a
คิดเยอะจนไม่มีสมาธิ,a
อยากระเบิดอารมณ์,a
ทำไมต้องมาทำแบบนี้,a
อารมณ์ร้อนจัด,a
ใจร้อนมาก,a
คิดอยากจะแก้แค้น,a
ไม่ฟังเหตุผลเลย,a
โกรธจนทนไม่ไหว,a
ทำไมมันต้องเป็นแบบนี้,a
ใจร้อนจนต้องระบาย,a
ขึ้นเลยตอนนี้,a
เดือดจัดไปหมด,a
ไม่อยากคุยกับใครเลย,a
อยากระบายความโกรธ,a
รู้สึกอยากระเบิดความเครียด,a
ใครทำอะไรไม่ได้เลยตอนนี้,a
พอแล้วกับการรอคอย,a
มองไม่เห็นทางออก,a
ทะเลาะกันอีกแล้ว,a
หงุดหงิดเลยตอนนี้,a
เซ็งชีวิตไปหมด,a
ไม่ไหวแล้วกับการทำงาน,s
หัวร้อน,s
หมดแรงไปหมด,s
ไม่รู้จะทำอะไร,s
เหนื่อยแบบสุดๆ,s
เศร้าหมองจนไม่อยากทำอะไร,s
แค่คิดก็อยากร้องไห้,s
เหนื่อยทั้งกายทั้งใจ,s
เหมือนโลกกำลังจะพัง,s
ไม่มีแรงทำอะไรเลย,s
อ่อนล้าเกินไป,s
หมดความหวัง,s
เศร้าใจมาก,s
อยากพักใจจริงๆ,s
ต้องการหยุดพักสักที,s
โลกนี้มันดูมืดมน,s
อยากหนีไปจากทุกอย่าง,s
เบื่อชีวิตเหลือเกิน,s
อ่อนล้าไปหมด,s
ไม่อยากทำอะไรทั้งนั้น,s
ปวดหัวจนคิดอะไรไม่ออก,c
ปวดหัวจากการเครียดทั้งวัน,c
สมองตื้อปวดหัวมาก,c
ปวดหัวเหมือนสมองมันหมุนไปหมด,c
ปวดหัวแล้วรู้สึกเหมือนจะล้ม,c
ไม่อยากทำอะไรเลย ปวดหัวเกินไป,c
ปวดหัวมาก จนไม่สามารถคิดอะไรได้เลย,c
ปวดหัวมากจากความคิดที่ล้นหลาม,c
ปวดหัวเพราะความกังวล,c
ปวดหัวจนตาลายคิดไม่ออก,c
ปวดหัวเพราะไม่สามารถจัดการกับความคิดได้,c
ปวดหัวเนื่องจากความเครียดสะสม,c
ปวดหัวจากการที่คิดเรื่องเดิมๆ ซ้ำๆ,c
ปวดหัวจากการคิดเยอะเกินไป,c
ปวดหัวจนรู้สึกเหมือนจะเป็นลม,c
คิดมากจนปวดหัว,c
ปวดหัวจากการทำงานหนัก,c
ปวดหัวเพราะคิดมากเกินไป,c
สมองตื้อจนปวดหัว,c
รู้สึกปวดหัวเพราะความวิตกกังวล,c
หัวร้อนจนทำอะไรไม่ถูก,a
อารมณ์ร้อนเหมือนไฟ,a
หงุดหงิดจนพูดไม่ออก,a
โกรธมากอยากทำอะไรสักอย่าง,a
คิดเยอะจนทนไม่ไหว,a
เดือดดาลจนไม่สามารถควบคุมตัวเองได้,a
อารมณ์ร้อนมากเกินไป,a
หัวร้อนจนอยากไปหาที่ระบาย,a
ใจร้อนอยากได้คำตอบเร็วๆ,a
ความเครียดทำให้หงุดหงิด,a
ความคิดไม่เป็นระเบียบทำให้ใจร้อน,a
อยากจัดการให้เสร็จเร็วๆ,a
เครียดจนไม่มีสติ,a
ทนไม่ได้ต้องออกไปเดินเล่น,a
พูดไม่ออกเพราะความโกรธ,a
ปวดหัวจากการตัดสินใจเร็วเกินไป,a
ความกดดันทำให้หงุดหงิด,a
อดทนไม่ไหวต้องปลดปล่อย,a
ไม่รู้จะทำยังไงกับความโกรธ,a
อารมณ์ขึ้นๆ ลงๆ,a
หมดแรงอ่อนล้า,s
รู้สึกเพลียจนทำอะไรไม่ไหว,s
อ่อนล้าไม่อยากทำอะไรเลย,s
หมดพลังทั้งร่างกายและจิตใจ,s
รู้สึกเหนื่อยเกินไป,s
เพลียจนไม่อยากตื่น,s
เหนื่อยจนท้อแท้,s
รู้สึกหมดกำลังใจ,s
ต้องการการพักผ่อนมาก,s
อ่อนล้าเหมือนร่างพัง,s
ร่างกายขาดพลัง,s
อยากนอนแล้วไม่ตื่น,s
รู้สึกเหนื่อยเหมือนจะหมดแรง,s
ต้องการการพักฟื้น,s
หมดความหวังจากการทำงานหนัก,s
รู้สึกหมดแรงทุกครั้งที่ลุกขึ้น,s
ท้อแท้จนไม่อยากทำอะไร,s
ทุกอย่างดูเหนื่อยไปหมด,s
ไม่อยากออกจากเตียงเลย,s
นอนเยอะก็ไม่หายเพลีย,s
รู้สึกกระปรี้กระเปร่าเหมือนได้รับพลังใหม่ๆ,c
อารมณ์ดีจนทำอะไรได้อย่างราบรื่น,c
รู้สึกเบิกบานกับการเริ่มต้นวันใหม่,c
สมองปลอดโปร่ง ความคิดไหลลื่น,c
มีพลังในการทำงานมากขึ้น,c
รู้สึกกระชุ่มกระชวยหลังจากออกกำลังกาย,c
ลุยต่อไปได้อย่างเต็มที่,c
ขึ่นมารับผิดชอบอะไรใหม่ๆ ด้วยความตั้งใจ,c
จิตใจเบิกบานเมื่อได้เห็นผลงานที่ตั้งใจทำ,c
รู้สึกดีขึ้นหลังจากพักผ่อนเพียงเล็กน้อย,c
การทำงานหนักวันนี้ก็ทำให้รู้สึกดีขึ้น,c
รู้สึกกระปรี้กระเปร่าเพราะการออกไปเดินข้างนอก,c
มีความสุขกับการเริ่มต้นสิ่งใหม่ๆ,c
อารมณ์ดีและทำงานได้อย่างมีประสิทธิภาพ,c
รู้สึกกระตือรือร้นและอยากทำอะไรใหม่ๆ,c
ความคิดที่กระจ่างช่วยให้การตัดสินใจดีขึ้น,c
อยากลองอะไรใหม่ๆ เพราะรู้สึกตื่นเต้น,c
การได้ทำสิ่งที่ชอบทำให้รู้สึกสดชื่น,c
รู้สึกดีขึ้นเมื่อได้ทำสิ่งที่สำเร็จ,c
ได้แรงบันดาลใจใหม่ๆ จากความสำเร็จเล็กๆ,c
สมองแจ่มใสและพร้อมรับมือกับงานท้าทาย,c
รู้สึกมีพลังและกระฉับกระเฉงมากขึ้น,c
พร้อมที่จะเดินหน้าและเผชิญกับทุกอุปสรรค,c
รู้สึกพึงพอใจกับสิ่งที่ทำได้สำเร็จ,c
เริ่มต้นวันใหม่ด้วยความกระตือรือร้น,c
รู้สึกมีความสุขเมื่อได้ทำสิ่งที่ชอบ,c
ร่างกายสดชื่นและพร้อมสำหรับงานหนัก,c
กำลังใจดีขึ้นและกระปรี้กระเปร่าขึ้น,c
รู้สึกเป็นกำลังใจให้ตัวเองเพื่อทำตามเป้าหมาย,c
ร่างกายและจิตใจเต็มไปด้วยพลังบวก,c
มีความสุขทุกครั้งที่ทำสิ่งใหม่ๆ,c
รู้สึกตื่นเต้นที่จะทำสิ่งที่ไม่เคยทำมาก่อน,c
ได้รับความกระตือรือร้นจากการเรียนรู้สิ่งใหม่,c
อยากสร้างสรรค์สิ่งใหม่ๆ ที่จะทำให้ชีวิตดีขึ้น,c
จิตใจสดชื่นและเปิดรับสิ่งใหม่ๆ,c
ได้ความรู้สึกใหม่ๆ ที่น่าตื่นเต้นทุกวัน,c
ความคิดสดใสและเต็มไปด้วยไอเดียใหม่ๆ,c
สามารถจัดการกับงานได้อย่างมีประสิทธิภาพ,c
รู้สึกดีเมื่อทำงานได้เสร็จตามที่ตั้งใจ,c
มีความมั่นใจที่จะก้าวไปข้างหน้า,c
รู้สึกดีขึ้นทุกครั้งที่ได้ทำสิ่งที่ชอบ,c
อารมณ์ดีเมื่อเห็นสิ่งต่างๆ เป็นไปตามที่คิด,c
อยากทำงานใหม่ๆ เพื่อพัฒนาตัวเองให้ดียิ่งขึ้น,c
รู้สึกสดชื่นหลังจากทำกิจกรรมที่ชอบ,c
รู้สึกมั่นใจในตัวเองมากขึ้น,a
ได้ทำงานอย่างเต็มที่และรู้สึกดี,a
มีความมุ่งมั่นในการทำทุกสิ่งให้สำเร็จ,a
ใจตั้งมั่นที่จะทำสิ่งที่ยากให้สำเร็จ,a
รู้สึกท้าทายกับการทำงานใหม่ๆ,a
อยากสร้างแรงบันดาลใจให้ตัวเองมากขึ้น,a
รู้สึกพึงพอใจกับผลงานที่สร้างสรรค์,a
ท้าทายตัวเองด้วยการทำสิ่งที่ไม่เคยทำ,a
ตั้งใจทำงานอย่างเต็มที่และไม่ยอมแพ้,a
พร้อมที่จะก้าวต่อไปแม้จะเจออุปสรรค,a
มุ่งมั่นที่จะทำทุกสิ่งให้สำเร็จอย่างที่หวัง,a
รู้สึกเชื่อมั่นในความสามารถของตัวเอง,a
อารมณ์ดีและมีพลังในการทำงานสูง,a
ทำงานอย่างมีประสิทธิภาพและเต็มที่,a
เชื่อมั่นในการตัดสินใจของตัวเอง,a
รู้สึกมีพลังในการทำงานหนักขึ้น,a
ตัดสินใจอย่างมั่นใจและเด็ดขาด,a
รู้สึกดีทุกครั้งที่ทำตามเป้าหมายได้สำเร็จ,a
มีความเชื่อมั่นในความสามารถของตนเอง,a
จิตใจมั่นคงและไม่ยอมแพ้ต่อความยากลำบาก,a
รู้สึกแข็งแกร่งขึ้นหลังจากเผชิญกับความท้าทาย,a
ใจมั่นคงและเต็มไปด้วยความตั้งใจ,a
มีความมุ่งมั่นที่จะทำให้ดีที่สุด,a
ความรู้สึกมั่นใจในการเริ่มต้นสิ่งใหม่ๆ,a
กล้าที่จะเผชิญหน้ากับปัญหาและหาทางแก้ไข,a
การทำงานหนักและมีความพึงพอใจในการบรรลุเป้าหมาย,a
มีพลังและจิตใจที่มั่นคงในการทำสิ่งที่ท้าทาย,a
พร้อมที่จะยืนหยัดแม้จะเจอกับอุปสรรค,a
ตั้งใจทำงานด้วยความมุ่งมั่นและไม่ยอมแพ้,a
รู้สึกเป็นกำลังใจให้ตัวเองในการทำงานหนัก,a
พร้อมที่จะทำทุกอย่างให้สำเร็จและดียิ่งขึ้น,a
กล้าที่จะลองสิ่งใหม่ๆ และเรียนรู้จากประสบการณ์,a
รู้สึกดีขึ้นเมื่อเผชิญกับปัญหาด้วยใจที่มั่นคง,a
ตั้งใจที่จะทำงานให้สำเร็จโดยไม่ยอมแพ้,a
มุ่งมั่นที่จะทำให้ดีที่สุดและพัฒนาตัวเอง,a
อยากประสบความสำเร็จในทุกสิ่งที่ทำ,a
รู้สึกเต็มไปด้วยความมั่นใจเมื่อทำงานสำเร็จ,a
รู้สึกผ่อนคลายหลังจากทำกิจกรรมที่ชอบ,s
จิตใจสงบหลังจากได้พักผ่อน,s
รู้สึกอิ่มอกอิ่มใจหลังจากทำงานสำเร็จ,s
การนั่งพักผ่อนช่วยให้รู้สึกดีขึ้น,s
รู้สึกสบายใจขึ้นหลังจากการทำกิจกรรมที่ช่วยผ่อนคลาย,s
มีความสุขกับการได้พักผ่อนสบายๆ,s
รู้สึกมีความสุขจากการนั่งอยู่ในที่สงบ,s
การได้อยู่กับตัวเองทำให้จิตใจสงบ,s
รู้สึกดีขึ้นหลังจากการนั่งสมาธิ,s
การทำงานเสร็จตามที่ตั้งใจทำให้รู้สึกดี,s
รู้สึกดีขึ้นหลังจากได้ทำกิจกรรมที่ผ่อนคลาย,s
รู้สึกโล่งใจเมื่อทำสิ่งที่ยากเสร็จ,s
การได้พักผ่อนทำให้รู้สึกสบายขึ้น,s
มีความสุขจากการได้ฟังเพลงที่ชอบ,s
รู้สึกสงบสุขในบรรยากาศที่เงียบสงบ,s
นั่งพักและรู้สึกดีขึ้นทุกครั้ง,s
การเดินเล่นในสวนทำให้รู้สึกดี,s
รู้สึกผ่อนคลายหลังจากดื่มน้ำอุ่น,s
การนอนหลับเต็มที่ทำให้รู้สึกสดชื่น,s
รู้สึกดีขึ้นเมื่อได้ทำสิ่งที่อยากทำ,s
ร่างกายและจิตใจผ่อนคลายขึ้นหลังจากพักผ่อน,s
รู้สึกดีขึ้นทุกครั้งที่ได้อยู่ใกล้ธรรมชาติ,s
การนั่งในที่ที่สงบทำให้จิตใจโล่ง,s
รู้สึกสงบและพอใจเมื่อทำสิ่งที่ดีเสร็จ,s
การอยู่ในที่เย็นทำให้รู้สึกสดชื่น,s
การได้รับการดูแลตัวเองทำให้รู้สึกดี,s
รู้สึกดีขึ้นจากการทำกิจกรรมที่ผ่อนคลาย,s
การนั่งพักที่บ้านทำให้รู้สึกดีขึ้น,s
การอยู่ในบรรยากาศที่สบายทำให้รู้สึกผ่อนคลาย,s
ได้พักผ่อนอย่างเต็มที่ทำให้รู้สึกดี,s
รู้สึกดีขึ้นเมื่อได้ใช้เวลาคุณภาพกับคนที่รัก,s
การทำสมาธิทำให้จิตใจสงบลง,s
รู้สึกสงบและผ่อนคลายทุกครั้งที่ได้ฟังเสียงธรรมชาติ,s
กระปรี้กระเปร่า,c
คิดบวก,c
สดใส,c
สดชื่นทุกวัน,c
ตื่นตัวตลอดเวลา,c
อยากทำสิ่งที่ท้าทาย,c
รู้สึกเต็มไปด้วยพลัง,c
มองโลกในแง่ดี,c
พร้อมรับมือทุกปัญหา,c
กระตือรือร้นมากขึ้น,c
มีแรงบันดาลใจ,c
รู้สึกมั่นคงขึ้น,c
จิตใจเบิกบาน,c
พลังในตัวเองดีขึ้น,c
พร้อมเผชิญกับทุกสถานการณ์,c
มีกำลังใจในการทำงาน,c
สดใส,c
ฟุ้งซ่าน,c
กังวล,c
ตื่นตัวกับสิ่งใหม่ๆ,c
การเปลี่ยนแปลงทำให้ตื่นเต้น,c
กระตือรือร้นในการสร้างสรรค์,c
ชีวิตเต็มไปด้วยพลังบวก,c
มีความสุขกับการเรียนรู้สิ่งใหม่,c
สร้างแรงบันดาลใจให้ตัวเอง,c
รู้สึกท้าทายกับชีวิต,c
อยากทำสิ่งที่ไม่เคยทำ,c
การเดินทางทำให้รู้สึกดี,c
มองโลกในแง่บวกเสมอ,c
มีความมั่นใจ,a
กระตุ้นตัวเองได้ง่าย,a
ไม่ยอมแพ้,a
มั่นคงในความคิด,a
ทำทุกอย่างด้วยใจจดจ่อ,a
พร้อมที่จะลุย,a
เชื่อมั่นในตัวเอง,a
ทุ่มเททุกสิ่งเพื่อความสำเร็จ,a
มุ่งมั่นในการทำงาน,a
แข็งแกร่งในทุกสถานการณ์,a
เต็มไปด้วยพลังอำนาจ,a
ทำงานได้อย่างเต็มที่,a
พร้อมที่จะเปลี่ยนแปลง,a
ตั้งใจทำสิ่งที่ยากให้สำเร็จ,a
มีแรงผลักดันสูง,a
ไม่กลัวความท้าทาย,a
ทำงานหนักไม่ยอมแพ้,a
มีเป้าหมายในชีวิต,a
รู้สึกดีเมื่อทำงานสำเร็จ,a
ทำตามเป้าหมายได้ทุกครั้ง,a
เชื่อมั่นในเส้นทางที่เลือก,a
รู้สึกพอใจในความสำเร็จ,a
พร้อมทำทุกสิ่งให้ดีที่สุด,a
ความมุ่งมั่นสูงมาก,a
สร้างความสำเร็จได้เอง,a
อยากพัฒนาตัวเองเสมอ,a
การท้าทายตัวเองทำให้เติบโต,a
ความสามารถทำให้มั่นใจ,a
ไม่ยอมแพ้ต่ออุปสรรค,a
ใจกล้าเผชิญกับสิ่งใหม่,a
สงบใจ,s
รู้สึกผ่อนคลาย,s
จิตใจเบิกบาน,s
ทำให้ใจเย็นลง,s
สบายใจ,s
พักผ่อนอย่างเต็มที่,s
ทำกิจกรรมที่ชอบ,s
รู้สึกสบายทุกครั้งที่ได้พัก,s
ใจสงบ,s
ทุกอย่างเป็นไปตามที่ต้องการ,s
ผ่อนคลายอย่างเต็มที่,s
รู้สึกดีเมื่ออยู่ในที่เงียบ,s
ไม่วิตกกังวล,s
การพักผ่อนทำให้จิตใจสงบ,s
จิตใจสะอาด,s
รู้สึกสงบจากการทำสมาธิ,s
ทุกสิ่งเป็นไปอย่างเรียบง่าย,s
รู้สึกปลอดภัย,s
อารมณ์ดีขึ้นหลังจากพักผ่อน,s
ใจสงบเมื่ออยู่ในธรรมชาติ,s
ร่างกายรู้สึกดีเมื่อพักผ่อน,s
รู้สึกปลอดโปร่ง,s
ทุกอย่างเป็นระเบียบเรียบร้อย,s
รู้สึกสงบจากการฟังเพลง,s
มีความสุขจากการทำสิ่งที่ชอบ,s
ทุกสิ่งเป็นไปตามที่วางแผน,s
รู้สึกเต็มไปด้วยพลังจากการพักผ่อน,s
อยากทำกิจกรรมที่ทำให้รู้สึกดี,s
สดชื่นหลังจากพักผ่อน,s
จิตใจโล่งและสะอาด,s
วาตะ,c
หัวตื้อสมองไม่ปลอดโปร่ง,c
ผ่อนคลายใจฟู,c
ตื่นเต้นจนใจเต้นแรง,c
ร่าเริงจิตใจเบิกบาน,c
สุขใจเหมือนโลกสดใสทั้งวัน,c
โล่งใจคลายความกังวล,c
สมองตื้อ คิดอะไรไม่ออก,c
ครุ่นคิดมาก หัวจิปวด,c
สมองล้า ความคิดยุ่งเหยิง,c
ใจล่องลอย ไม่สนใจใคร,c
ร่าเริงสดใส หัวใจพองโต,c
เร้าใจกระตือรือร้น,c
ผ่อนคลายสบายใจ,c
อยากสงบ แต่ใจว้าวุ่น,c
สมองเบลอ คิดอะไรไม่ออก,c
อยากพัก แต่ใจพักไม่ได้,c
ใจล้า ต้องการความเบาสบาย,c
หลับไม่ลึก ฝันเยอะ,c
เครียดง่าย เหนื่อยไว,c
สมองไม่แล่น คิดอะไรไม่ออก,c
เครียดสะสม ใจไม่ฟู,c
ใจอยากพัก แต่โลกไม่หยุด,c
ใจไม่สงบ แต่ต้องจบทุกดราม่า,c
คิดฟุ้งซ่าน ไม่มีเขาเราก็อยู่ได้,c
คิดมากไปทำไม เดี๋ยวก็ลืมได้,c
คิดฟุ้งซ่านไปได้ ไม่เห็นมีอะไร,c
จิตไม่สงบ เมื่อพบเธอมากับเขา,c
เสมหะ,s
โดดเดี่ยวเดียวดาย,s
นอนน้อย แต่นอนนะ,s
ง่วงเหงาหาวนอนจนแทบสลบ,s
อ่อนเปลี้ยเพลียแรง,s
ไม่กะปรี้กระเปร่า,s
ทุกข์ใจเหมือนแบกโลกไว้บนบ่า,s
เศร้า เสียใจ หัวใจหนักอึ้ง,s
หมดหวัง หมดกำลังใจ,s
เบื่อหน่าย วัยรุ่นเซ็ง,s
หมดแรงอ่อนล้า,s
หมดหวังสิ้นกำลังใจ,s
เศร้าสลดหดหู่,s
ปล่อยใจจอย ไม่สนใจใคร,s
อิ่มอกอิ่มใจ,s
ผ่อนคลายใจเย็น,s
ร่างพัง ใจล้า,s
เหนื่อยแบบไม่มีที่สิ้นสุด,s
เพลียจนไม่อยากทำอะไร,s
หมดแรง แต่ยังต้องลุย,s
อ่อนล้า เหมือนร่างพัง,s
ไฟในตัวหมด ไม่มีแรงเดินต่อ,s
เหนื่อยล้าทั้งกายและใจ,s
เหนื่อยแบบไม่มีวันหยุด,s
ร่างล้า ใจต้องการเยียวยา,s
เหงื่อออกง่าย ใจล้ามาก,s
นอนเยอะแต่ไม่สดชื่น,s
ปิตตะ,a
หัวร้อน ฉุนเฉียว เกรี้ยวกราด,a
ครุ่นคิด วิตกกังวล,a
เกรี้ยวกราดเดือดดาล,a
โกรธจัดจนเลือดขึ้นหน้า,a
ผมนี่ขึ้นเลย,a
ฉุนเฉียวดุจน้ำที่เดือดพล่าน,a
เดือดดานดุจไฟป่า,a
โลกที่ร้อนยังไม่เท่าหัวฉันในตอนนี้,a
เดือดเนื้อร้อนใจ,a
อดทนอดกลั้นไม่ไหว,a
หงุดหงิดอยากติดถ้ำ,a
อยากมองบนใส่คนอย่างเธอ,a
เลือดร้อนอยากนอนหยอดข้าวต้ม,a
หัวจะระเบิดอยากเกิดใหม่,a
อารมณ์ร้อนมองค้อนไม่รู้ตัว,a
ร้อนเหมือนซ้อมตกนรก,a
ใจร้อนเหมือนทะเลทราย,a
อารมณ์พุ่งปรี๊ด พลังหมดไว,a
ร้อนใจจนพูดไม่ออก,a
อยากสงบ แต่หาไม่เจอ,a
ร้อนรุ่ม ไม่สดใส,a
ทุกอย่างร้อนเหมือนภูเขาไฟ,a
หัวร้อนบ่อย ใจไม่เย็น,a
ร้อนจนอยากหาที่พักใจ,a
ร้อนใน ใจเดือด,a
ขุ่นใจจนหัวใจหม่นหมอง,a
