sentence,sentiment
"รู้สึกดีวันนี้","positive"
"รู้สึกโกรธมาก","negative"
"เหงามากเลยวันนี้","negative"
"สุขใจที่ได้อยู่กับครอบครัว","positive"
"เบื่อชีวิตนี้จริงๆ","negative"
"รู้สึกท้อแท้กับทุกสิ่ง","negative"
"มีกำลังใจที่จะทำต่อ","positive"
"รู้สึกหวั่นไหวและวิตกกังวล","negative"
"ชีวิตนี้มันดีจริงๆ","positive"
"เครียดจากการทำงานหนัก","negative"
"ขอโทษที่ทำให้ผิดหวัง","negative"
"รู้สึกสบายใจที่ได้พักผ่อน","positive"
"พยายามทำให้ดีที่สุด","positive"
"มีความสุขที่ได้อยู่กับเพื่อน","positive"
"รู้สึกกลัวการสูญเสีย","negative"
"เพื่อนทำให้รู้สึกดี","positive"
"คิดมากกับปัญหาที่เกิดขึ้น","negative"
"อยากหลีกหนีจากความเครียด","negative"
"วันนี้ตื่นมาแล้วรู้สึกดี","positive"
"รู้สึกท้อแท้กับสิ่งที่เกิดขึ้น","negative"
"เครียดจากเรื่องที่ไม่สามารถควบคุมได้","negative"
"ความสุขเล็กๆ ทำให้รู้สึกดี","positive"
"หัวใจหนักหน่วงกับความกังวล","negative"
"รู้สึกเหมือนชีวิตกำลังไปในทางที่ดีขึ้น","positive"
"รู้สึกผิดหวังกับความล้มเหลว","negative"
"รู้สึกขอบคุณทุกคนที่ให้กำลังใจ","positive"
"รู้สึกดีใจที่ได้ทำตามฝัน","positive"
"เครียดกับการทำงาน","negative"
"เพื่อนเป็นแรงบันดาลใจให้กับชีวิต","positive"
"ทุกอย่างดูเหมือนจะไม่เป็นไปตามที่หวัง","negative"
"รู้สึกอุ่นใจที่มีคนคอยสนับสนุน","positive"
"รู้สึกเจ็บปวดจากการสูญเสีย","negative"
"มีความสุขที่ได้ใช้เวลาอยู่กับครอบครัว","positive"
"ไม่อยากเจอสิ่งที่เครียดอีกแล้ว","negative"
"วันนี้รู้สึกสดชื่นและมีพลัง","positive"
"การตัดสินใจผิดพลาดทำให้รู้สึกผิดหวัง","negative"
"วันนี้รู้สึกภูมิใจในตัวเอง","positive"
"รู้สึกไม่มั่นใจในตัวเอง","negative"
"วันนี้ได้เรียนรู้อะไรใหม่ๆ","positive"
"รู้สึกหวาดกลัวกับอนาคต","negative"
"รู้สึกชื่นชมความพยายามของตัวเอง","positive"
"มีความกังวลเกี่ยวกับการตัดสินใจ","negative"
"รู้สึกเบื่อหน่ายกับสถานการณ์ตอนนี้","negative"
"วันนี้รู้สึกมีความหวัง","positive"
"รู้สึกโดดเดี่ยวและเหงา","negative"
"ชีวิตนี้มีความหมายเมื่อได้ช่วยคนอื่น","positive"
"รู้สึกเครียดมากเพราะทำไม่ทันเวลา","negative"
"รู้สึกผ่อนคลายหลังจากการพักผ่อน","positive"
"รู้สึกอ่อนแอเมื่อเจอกับปัญหาที่ยิ่งใหญ่","negative"
"พยายามทำให้ดีที่สุดในการทำงาน","positive"
"รู้สึกว่าทุกอย่างมันยากเกินไป","negative"
"หัวใจเต็มไปด้วยความสุขในวันนี้","positive"
"ไม่สามารถจัดการกับความเครียดได้","negative"
"มีความหวังที่เห็นความเปลี่ยนแปลงดีขึ้น","positive"
"รู้สึกกลัวกับการเผชิญหน้ากับปัญหาใหม่ๆ","negative"
"มีความสุขที่ได้แบ่งปันประสบการณ์ดีๆ","positive"
"รู้สึกเหนื่อยล้าจากการทำงานหนัก","negative"
"ได้พบมิตรภาพใหม่ๆ ที่น่ารัก","positive"
"รู้สึกขอบคุณที่ทุกคนให้การสนับสนุน","positive"
"มีความสุขที่ได้เป็นส่วนหนึ่งของทีม","positive"
"รู้สึกเศร้าจากการสูญเสียคนสำคัญ","negative"
"รู้สึกอับอายเมื่อทำผิดพลาด","negative"
"ไม่สามารถหาทางออกจากปัญหาได้","negative"
"วันนี้ทุกอย่างดูดีมาก","positive"
"รู้สึกท้อแท้จากการไม่เห็นผลลัพธ์ที่ต้องการ","negative"
"รู้สึกเป็นกำลังใจให้ตัวเองในช่วงเวลาที่ยากลำบาก","positive"
"รู้สึกว่าโลกนี้เต็มไปด้วยความกังวล","negative"
"วันนี้มีความสุขกับสิ่งที่ทำ","positive"
"รู้สึกผิดหวังกับคนที่ไม่เข้าใจ","negative"
"รู้สึกสบายใจเมื่อได้พักผ่อน","positive"
"ชีวิตในปัจจุบันเต็มไปด้วยความเครียด","negative"
"รู้สึกดีกับการมีคนคอยอยู่ข้างๆ","positive"
"เครียดกับเรื่องที่ไม่สามารถควบคุมได้","negative"
"มีความสุขที่เห็นคนอื่นประสบความสำเร็จ","positive"
"รู้สึกหนักใจกับความรับผิดชอบ","negative"
"รู้สึกดีใจที่ได้ช่วยเหลือคนอื่น","positive"
"รู้สึกไม่มั่นคงในชีวิตตอนนี้","negative"
"ชีวิตนี้มีแต่ความสวยงามเมื่ออยู่กับคนที่รัก","positive"
"รู้สึกอึดอัดกับสถานการณ์ที่ไม่เป็นไปตามที่หวัง","negative"
"รู้สึกดีเมื่อได้รับการยอมรับจากผู้อื่น","positive"
"รู้สึกเสียใจที่ไม่สามารถทำสิ่งต่างๆ ได้ตามที่ต้องการ","negative"
"รู้สึกว่าโลกนี้เต็มไปด้วยความเป็นไปได้ใหม่ๆ","positive"
"รู้สึกไม่อยากพบเจอความยากลำบากอีกครั้ง","negative"
"รู้สึกดีใจเมื่อเห็นคนอื่นมีความสุข","positive"
"คิดถึงคนที่จากไปแล้ว","negative"
"ชีวิตในตอนนี้ดูสวยงามมาก","positive"
"รู้สึกกลัวกับสิ่งที่ยังมาไม่ถึง","negative"
"รู้สึกดีเมื่อได้เรียนรู้สิ่งใหม่ๆ","positive"
"รู้สึกท้อแท้จากการต่อสู้กับตัวเอง","negative"
"วันนี้เต็มไปด้วยความหวังและความสุข","positive"
"ชีวิตนี้มันยากเกินไปจริงๆ","negative"
"รู้สึกภาคภูมิใจในตัวเองหลังจากประสบความสำเร็จ","positive"
"รู้สึกเครียดจากการต้องทำหลายอย่างในเวลาเดียวกัน","negative"
"รู้สึกดีเมื่อได้ทำตามความฝัน","positive"
"รู้สึกผิดหวังจากผลลัพธ์ที่ออกมา","negative"
"ชีวิตนี้มันช่างน่าเบื่อหน่ายจริงๆ","negative"
"รู้สึกดีที่ได้ร่วมงานกับคนที่เก่ง","positive"
"รู้สึกกลัวสิ่งที่เกิดขึ้นในอนาคต","negative"
"รู้สึกดีเมื่อได้ทำสิ่งที่รัก","positive"
"วันนี้เป็นวันที่ดีมาก","positive"
"รู้สึกวิตกกังวลกับการตัดสินใจ","negative"
"รู้สึกขอบคุณที่มีโอกาสเรียนรู้สิ่งใหม่ๆ","positive"
"การไม่ได้ทำในสิ่งที่ชอบทำให้รู้สึกเศร้า","negative"
"รู้สึกสบายใจเมื่อได้ช่วยคนที่ต้องการ","positive"
"รู้สึกเครียดจากปัญหาที่ไม่สามารถแก้ไขได้","negative"
"ชีวิตนี้มันยุ่งยากและเครียดเกินไป","negative"
"รู้สึกดีเมื่อได้อยู่กับคนที่รัก","positive"
"รู้สึกว่าโลกนี้ไม่ยุติธรรม","negative"
"รู้สึกดีเมื่อได้ทำสิ่งที่ช่วยเหลือผู้อื่น","positive"
"รู้สึกไม่มั่นใจในการตัดสินใจครั้งนี้","negative"
"รู้สึกดีใจที่มีคนที่เชื่อใจ","positive"
"รู้สึกดีที่ได้อยู่กับตัวเอง","positive"
"การสูญเสียทำให้รู้สึกเหมือนชีวิตไม่มีความหมาย","negative"
"รู้สึกดีที่ได้เป็นส่วนหนึ่งของบางสิ่งที่ยิ่งใหญ่","positive"
"รู้สึกท้อแท้ที่ต้องเผชิญหน้ากับปัญหามากมาย","negative"
"รู้สึกดีเมื่อได้รับการสนับสนุนจากผู้อื่น","positive"
"รู้สึกหวาดหวั่นต่ออนาคตที่ไม่แน่นอน","negative"
"วันนี้รู้สึกสดชื่นและเต็มไปด้วยพลัง","positive"
"รู้สึกท้อแท้จากความผิดหวังหลายๆ ครั้ง","negative"
"รู้สึกดีเมื่อทำให้คนอื่นมีความสุข","positive"
"รู้สึกเครียดจากความคาดหวังที่สูงเกินไป","negative"
"รู้สึกดีที่ได้ทำในสิ่งที่มีความหมาย","positive"
"ชีวิตนี้มันยากมากเกินไป","negative"
"รู้สึกดีที่ได้ทำงานที่รัก","positive"
"รู้สึกผิดหวังกับตัวเองที่ทำให้เกิดความล้มเหลว","negative"
"รู้สึกดีเมื่อได้อยู่ในสถานที่ที่สงบ","positive"
"ชีวิตนี้มันเต็มไปด้วยความท้าทาย","negative"
"รู้สึกดีใจที่ได้เห็นคนอื่นมีความสุข","positive"
"รู้สึกเหนื่อยจากการทำงานหนัก","negative"
"รู้สึกดีเมื่อได้รับคำชมจากคนอื่น","positive"
"รู้สึกกลัวว่าอนาคตจะไม่เป็นอย่างที่หวัง","negative"
"รู้สึกดีที่ได้ทำตามความตั้งใจ","positive"
"รู้สึกเครียดกับภาระที่เพิ่มขึ้น","negative"
"รู้สึกดีที่ได้อยู่กับคนที่มีความสุข","positive"
"รู้สึกท้อแท้ที่ต้องทำงานเกินเวลา","negative"
"รู้สึกดีเมื่อได้ทำความดีให้กับผู้อื่น","positive"
"รู้สึกเหนื่อยจากการเผชิญกับความยากลำบาก","negative"
"รู้สึกดีเมื่อได้ทำสิ่งที่มีความหมายกับชีวิต","positive"
"รู้สึกหนักใจจากความคาดหวังที่ไม่สามารถทำได้","negative"
"วันนี้รู้สึกดีมาก","positive"
"ท้อแท้จากความล้มเหลวที่ผ่านมา","negative"
"มีความสุขที่ได้เดินทางไปที่ใหม่ๆ","positive"
"รู้สึกเสียใจที่ไม่ได้ทำตามที่ตั้งใจ","negative"
"ดีใจที่ได้พบกับเพื่อนเก่า","positive"
"รู้สึกเครียดจากการไม่สามารถควบคุมสถานการณ์ได้","negative"
"รู้สึกดีเมื่อทำสิ่งที่ช่วยเหลือผู้อื่น","positive"
"วันนี้เป็นวันที่เงียบสงบและดี","positive"
"รู้สึกโกรธที่ถูกเข้าใจผิด","negative"
"ชีวิตนี้เต็มไปด้วยความท้าทาย","negative"
"รู้สึกดีเมื่อได้สัมผัสกับธรรมชาติ","positive"
"รู้สึกเศร้าที่ไม่ได้ทำในสิ่งที่รัก","negative"
"พยายามทำให้ดีที่สุดเพื่ออนาคตที่ดีกว่า","positive"
"รู้สึกกลัวสิ่งที่ไม่รู้จัก","negative"
"วันนี้ได้มีโอกาสพูดคุยกับคนที่น่ารัก","positive"
"รู้สึกท้อแท้จากการต้องเผชิญกับปัญหาหลายๆ อย่าง","negative"
"รู้สึกดีใจที่ทำสำเร็จตามที่ตั้งใจ","positive"
"ชีวิตมันยุ่งยากเกินไปจริงๆ","negative"
"รู้สึกไม่มั่นใจในการตัดสินใจครั้งนี้","negative"
"มีความสุขที่ได้อยู่กับครอบครัวในวันหยุด","positive"
"รู้สึกดีใจที่ได้ทำบางสิ่งที่มีความหมาย","positive"
"วันนี้รู้สึกดีมาก","positive"
"รู้สึกท้อแท้จากการที่ไม่สามารถทำทุกอย่างได้","negative"
"รู้สึกดีเมื่อได้เห็นคนรอบข้างมีความสุข","positive"
"ชีวิตนี้ไม่เหมือนกับที่คิด","negative"
"รู้สึกกลัวกับความไม่แน่นอนในอนาคต","negative"
"รู้สึกดีเมื่อได้แบ่งปันความสุขกับคนอื่น","positive"
"รู้สึกเหนื่อยมากกับการทำงานในวันนี้","negative"
"ชีวิตนี้เต็มไปด้วยความสงบสุข","positive"
"รู้สึกเสียใจที่ทำให้ใครบางคนผิดหวัง","negative"
"รู้สึกดีที่ได้อยู่กับคนที่รักและห่วงใย","positive"
"รู้สึกเครียดจากการต้องทำงานหลายๆ อย่างพร้อมกัน","negative"
"รู้สึกดีที่ได้เรียนรู้สิ่งใหม่ๆ","positive"
"รู้สึกผิดหวังกับผลลัพธ์ที่ออกมา","negative"
"ชีวิตนี้เต็มไปด้วยความฝัน","positive"
"รู้สึกกังวลกับอนาคตที่ไม่สามารถควบคุมได้","negative"
"รู้สึกดีที่ได้ทำในสิ่งที่ตั้งใจ","positive"
"รู้สึกท้อแท้กับความไม่ยุติธรรมในชีวิต","negative"
"รู้สึกดีเมื่อได้ทำสิ่งที่รัก","positive"
"รู้สึกหนักใจจากการต้องรับผิดชอบมากเกินไป","negative"
"รู้สึกดีที่ได้ช่วยเหลือคนอื่นในช่วงเวลาที่ต้องการ","positive"
"รู้สึกท้อแท้จากความพยายามที่ไม่เห็นผล","negative"
"ชีวิตนี้ดูเหมือนจะไม่มีทางออก","negative"
"รู้สึกดีที่ได้ช่วยคนที่ต้องการความช่วยเหลือ","positive"
"รู้สึกเครียดจากความผิดหวังที่เกิดขึ้น","negative"
"วันนี้เป็นวันที่ดีมาก","positive"
"รู้สึกผิดหวังจากการไม่ได้ทำสิ่งที่ต้องการ","negative"
"รู้สึกดีที่ได้ทำสิ่งที่สำคัญในชีวิต","positive"
"รู้สึกเครียดจากภาระที่ต้องรับผิดชอบ","negative"
"ชีวิตนี้เต็มไปด้วยความหวังใหม่ๆ","positive"
"รู้สึกผิดหวังจากการไม่สามารถทำตามที่คาดหวังได้","negative"
"รู้สึกดีเมื่อเห็นคนอื่นมีความสุข","positive"
"รู้สึกท้อแท้จากการไม่เห็นผลที่ต้องการ","negative"
"รู้สึกดีเมื่อได้พบสิ่งใหม่ๆ ในชีวิต","positive"
"ชีวิตนี้มันยากเกินไปจริงๆ","negative"
"รู้สึกดีเมื่อได้ทำสิ่งที่ช่วยให้คนอื่นมีชีวิตที่ดีขึ้น","positive"
"รู้สึกเครียดจากความคาดหวังที่สูงเกินไป","negative"
"รู้สึกดีที่ได้ทำในสิ่งที่รัก","positive"
"ชีวิตมันยากเกินไปในตอนนี้","negative"
"รู้สึกดีที่ได้เป็นส่วนหนึ่งของทีม","positive"
"รู้สึกผิดหวังจากความล้มเหลวที่เกิดขึ้น","negative"
"รู้สึกดีเมื่อได้รับคำชมจากคนอื่น","positive"
"ชีวิตนี้มันแย่มากในตอนนี้","negative"
"รู้สึกดีเมื่อได้ช่วยเหลือคนที่ต้องการ","positive"
"รู้สึกเหนื่อยกับสิ่งที่ต้องทำในชีวิต","negative"
"รู้สึกดีที่ได้ทำในสิ่งที่ตั้งใจ","positive"
"รู้สึกท้อแท้จากการต้องรับผิดชอบหลายอย่างพร้อมกัน","negative"
"ชีวิตนี้มันยากเกินไปเมื่อไม่มีคนเข้าใจ","negative"
"รู้สึกดีที่ได้ทำตามความฝันของตัวเอง","positive"
"รู้สึกเครียดกับความคาดหวังที่ไม่สามารถทำได้","negative"
"รู้สึกดีเมื่อได้รับการยอมรับจากคนรอบข้าง","positive"
"รู้สึกผิดหวังจากความล้มเหลวครั้งล่าสุด","negative"
"รู้สึกดีเมื่อได้มีโอกาสทำสิ่งใหม่ๆ","positive"
"ชีวิตนี้เต็มไปด้วยความเครียดและกังวล","negative"
"รู้สึกดีที่ได้เห็นความสำเร็จของคนอื่น","positive"
"รู้สึกเหนื่อยกับการทำงานหนัก","negative"
"รู้สึกดีที่ได้ใช้เวลาอยู่กับครอบครัว","positive"
"รู้สึกท้อแท้จากความล้มเหลวที่เกิดขึ้น","negative"
"ชีวิตนี้มันยุ่งยากเกินไป","negative"
"รู้สึกดีเมื่อทำบางสิ่งเพื่อช่วยคนอื่น","positive"
"รู้สึกเครียดจากการต้องทำหลายสิ่งพร้อมกัน","negative"
"ชีวิตนี้มันท้าทายจริงๆ","negative"
"รู้สึกดีเมื่อได้ช่วยเหลือคนที่ต้องการความช่วยเหลือ","positive"
"รู้สึกผิดหวังจากการไม่สามารถทำตามเป้าหมาย","negative"
"รู้สึกดีเมื่อได้พักผ่อนและผ่อนคลาย","positive"
"รู้สึกท้อแท้จากการต้องพยายามต่อไป","negative"
"รู้สึกดีเมื่อได้ช่วยคนอื่นในเวลาที่เหมาะสม","positive"
"ชีวิตนี้มันเหนื่อยเหลือเกิน","negative"
"รู้สึกดีเมื่อได้ทำตามที่ตั้งใจ","positive"
"รู้สึกท้อแท้จากการไม่ได้เห็นความสำเร็จ","negative"
"รู้สึกดีเมื่อได้ทำในสิ่งที่เป็นประโยชน์","positive"
"ชีวิตนี้เต็มไปด้วยความเครียดและความวิตกกังวล","negative"
"รู้สึกดีที่ได้ทำสิ่งที่มีความหมาย","positive"
"รู้สึกเครียดจากความกดดันที่ต้องเผชิญ","negative"
"รู้สึกดีที่ได้ทำในสิ่งที่สำคัญในชีวิต","positive"
"รู้สึกท้อแท้จากการไม่ได้ทำในสิ่งที่รัก","negative"
"รู้สึกดีเมื่อได้พบสิ่งใหม่ๆ ที่ดี","positive"
"ชีวิตนี้เต็มไปด้วยความท้าทายและความไม่แน่นอน","negative"
"รู้สึกดีเมื่อได้รับการสนับสนุนจากคนอื่น","positive"
"รู้สึกท้อแท้จากการที่ไม่สามารถควบคุมสถานการณ์ได้","negative"
"ชีวิตนี้มันยากเกินไปเมื่อไม่มีคนช่วย","negative"
"รู้สึกดีที่ได้เห็นความสำเร็จของตัวเอง","positive"
"รู้สึกท้อแท้จากการที่ไม่เห็นผลลัพธ์ที่ต้องการ","negative"
"รู้สึกดีเมื่อได้พักผ่อนและพักใจ","positive"
"รู้สึกท้อแท้จากการต้องทำงานหนักในวันนี้","negative"